id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_SR_0;7Fields;['INET_SR_0', 'EntsoG_Map_Stor_EU_97'];['INET_N_0'];47.962006;13.356863;AT;Storage Capacity connected to Germany and Austria;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 14.234480837472395, 'max_cap_store2pipe_M_m3_per_d': 21.35172125620859, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 1708.0497247189528, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'start_year': 2011, 'nuts_id_3': 'AT323'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_1;Aigelsbrunn;['INET_SR_1', 'LKD_809032'];['INET_N_20'];47.981978;13.312084;AT;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 1.1964705771917463, 'max_cap_store2pipe_M_m3_per_d': 1.1964705771917463, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 129.32439326999025, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'start_year': 2011, 'nuts_id_3': 'AT323'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_2;Aldbrough1;['INET_SR_2', 'EntsoG_Map_Stor_EU_58'];['INET_N_27'];53.813895;-0.087273;GB;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 27.36046687548773, 'max_cap_store2pipe_M_m3_per_d': 30.087715985263035, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 183.15677166584538, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'UKE', 'nuts_id_2': 'UKE1', 'start_year': 2009, 'nuts_id_3': 'UKE12'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_3;Aldbrough2;['INET_SR_3'];['INET_N_27'];53.813895;-0.087273;GB;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 7.2755968186586415, 'max_cap_store2pipe_M_m3_per_d': 9.461794895365635, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 48.386677754077986, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'UKE', 'nuts_id_2': 'UKE1', 'start_year': 2050, 'nuts_id_3': 'UKE12'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 11.204360637976869, 'max_cap_store2pipe_M_m3_per_d': 13.044076002332304, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_4;Alfonsine;['INET_SR_4', 'EntsoG_Map_Stor_EU_56'];['N_1169_S_LMGN'];44.51449;12.00738;IT;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.4017387321569617, 'max_cap_store2pipe_M_m3_per_d': 2.4017387321569617, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 6.6673217917390915, 'max_storage_pressure_bar': 150.63602085935864, 'max_workingGas_M_m3': 143.91957479617486, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 6.529505890172381, 'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH5', 'start_year': 2026, 'nuts_id_3': 'ITH57'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 6.270390332848727, 'max_storage_pressure_bar': 38.71780593988142, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 6.826877315342817, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Lasso(Pipe_diameter_mm, Pipe_pipe_class_EMap)', 'max_storage_pressure_bar': 'Squared(max_power_MW, Pipe_max_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Squared(max_cap_store2pipe_M_m3_per_d, Pipe_max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_5;Alkmaar;['INET_SR_5', 'EntsoG_Map_Stor_EU_59'];['INET_N_37'];52.650953;4.716946;NL;"Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.4838407982936146, 'max_cap_store2pipe_M_m3_per_d': 31.363364762415998, 'max_cushionGas_M_m3': 3350.0, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 435.6032658755304, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL32', 'start_year': 1997, 'nuts_id_3': 'NL328'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_6;Allmenhausen;['INET_SR_6', 'IGU_SR_7'];['INET_N_38'];51.219587;10.702464;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 7.2755968186586415, 'max_cap_store2pipe_M_m3_per_d': 1.4516003326223395, 'max_cushionGas_M_m3': 236.0, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 36.0, 'max_workingGas_M_m3': 60.52733508146482, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 10, 'nuts_id_1': 'DEG', 'nuts_id_2': 'DEG0', 'start_year': 1996, 'nuts_id_3': 'DEG09'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 11.204360637976869, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_7;Alsace Sud;['INET_SR_7'];['INET_N_46'];47.97;7.05;FR;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.0087715985263035, 'max_cap_store2pipe_M_m3_per_d': 9.624550084174784, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 200.58477323508689, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'FRF', 'nuts_id_2': 'FRF1', 'start_year': 2022, 'nuts_id_3': 'FRF12'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_8;Atwick;['INET_SR_8', 'GIE_SR_102'];['INET_N_90'];53.946533;-0.207479;GB;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 11.43685110550934, 'max_cap_store2pipe_M_m3_per_d': 2.639273332040617, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 229.96868299847245, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'UKE', 'nuts_id_2': 'UKE1', 'start_year': None, 'nuts_id_3': 'UKE12'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': None, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': None, 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_9;Bad Lauchstaedt;['INET_SR_9', 'LKD_815048'];['LKD_N_423'];51.405112;11.822144;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 44.07762416063299, 'max_cap_store2pipe_M_m3_per_d': 30.121146780802214, 'max_cushionGas_M_m3': 121.0, 'max_power_MW': 20.0, 'max_storage_pressure_bar': 150.0, 'max_workingGas_M_m3': 23.477, 'min_storage_pressure_bar': 15.0, 'num_storage_wells': 18, 'nuts_id_1': 'DEE', 'nuts_id_2': 'DEE0', 'start_year': 1975, 'nuts_id_3': 'DEE0B'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_10;Bagnolo Mella;['INET_SR_10', 'GSE_SR_128'];['INET_N_121'];45.423202;10.138115;IT;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 7.2755968186586415, 'max_cap_store2pipe_M_m3_per_d': 9.461794895365635, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 85.16055284717724, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'ITC', 'nuts_id_2': 'ITC4', 'start_year': 2050, 'nuts_id_3': 'ITC47'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 11.204360637976869, 'max_cap_store2pipe_M_m3_per_d': 13.044076002332304, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_11;Balaceanca;['INET_SR_11', 'IGU_SR_80'];['INET_N_126'];44.389969;26.310924;RO;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 7.2755968186586415, 'max_cap_store2pipe_M_m3_per_d': 9.461794895365635, 'max_cushionGas_M_m3': 50.0, 'max_power_MW': 3.95, 'max_storage_pressure_bar': 60.0, 'max_workingGas_M_m3': 47.56850302114539, 'min_storage_pressure_bar': 30.0, 'num_storage_wells': 16, 'nuts_id_1': 'RO3', 'nuts_id_2': 'RO31', 'start_year': 1992, 'nuts_id_3': 'RO322'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 11.204360637976869, 'max_cap_store2pipe_M_m3_per_d': 13.044076002332304, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_12;Banatski Dvor;['INET_SR_12', 'EntsoG_Map_Stor_EU_11'];['INET_N_137'];45.537223;20.47481;RS;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.3870674427854586, 'max_cap_store2pipe_M_m3_per_d': 4.838667775407798, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 435.4800997867019, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'RS1', 'nuts_id_2': 'RS12', 'start_year': 2011, 'nuts_id_3': 'RS126'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_13;Bergermeer;['INET_SR_13', 'GSE_SR_149'];['INET_N_37'];52.650953;4.716946;NL;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 41.15506882428669, 'max_cap_store2pipe_M_m3_per_d': 55.820630972659046, 'max_cushionGas_M_m3': 389.9145299145299, 'max_power_MW': 9.068470588235309, 'max_storage_pressure_bar': 124.24285714285715, 'max_workingGas_M_m3': 4011.6954647017383, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 19.0, 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL32', 'start_year': 2015, 'nuts_id_3': 'NL328'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1595.4297903426109, 'max_power_MW': 24.44232387543252, 'max_storage_pressure_bar': 59.387210884353735, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.74404761904762, 'num_storage_wells': 39.61607142857143, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
INET_SR_14;Berlin;['INET_SR_14', 'IGU_SR_9'];['INET_N_172'];52.513276;13.224641;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.8152248875099914, 'max_cap_store2pipe_M_m3_per_d': 5.269749086307765, 'max_cushionGas_M_m3': 305.0, 'max_power_MW': 6.7, 'max_storage_pressure_bar': 128.0, 'max_workingGas_M_m3': 146.47966992825425, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 14, 'nuts_id_1': 'DE4', 'nuts_id_2': 'DE40', 'start_year': 1992, 'nuts_id_3': 'DE300'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'start_year': 0, 'nuts_id_3': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'start_year': 'raw', 'nuts_id_3': 'make_Attrib(const)'};{}
